ANO ;C�digo da Unidade da Federa��o;Nome da Unidade da Federa��o;C�digo do Munic�pio;Munic�pio                     ;Esperan�a de vida ao nascer;Mortalidade infantil
1991;31                            ;Minas Gerais                ;312500             ;Ewbank da C�mara              ;64,87                      ;38,81
1991;31                            ;Minas Gerais                ;312510             ;Extrema                       ;67                         ;32,32
1991;31                            ;Minas Gerais                ;312520             ;Fama                          ;67,59                      ;30,63
1991;31                            ;Minas Gerais                ;312530             ;Faria Lemos                   ;65,99                      ;35,29
1991;31                            ;Minas Gerais                ;312540             ;Fel�cio dos Santos            ;65,09                      ;41,70
1991;31                            ;Minas Gerais                ;312550             ;S�o Gon�alo do Rio Preto      ;63,23                      ;47,68
1991;31                            ;Minas Gerais                ;312560             ;Felisburgo                    ;63,98                      ;41,72
1991;31                            ;Minas Gerais                ;312570             ;Felixl�ndia                   ;65,38                      ;37,20
1991;31                            ;Minas Gerais                ;312580             ;Fernandes Tourinho            ;63,14                      ;44,56
1991;31                            ;Minas Gerais                ;312590             ;Ferros                        ;66,35                      ;34,23
1991;31                            ;Minas Gerais                ;312595             ;Fervedouro                    ;65,99                      ;35,29
1991;31                            ;Minas Gerais                ;312600             ;Florestal                     ;68,91                      ;27,03
1991;31                            ;Minas Gerais                ;312610             ;Formiga                       ;69,64                      ;25,14
1991;31                            ;Minas Gerais                ;312620             ;Formoso                       ;64,55                      ;39,85
1991;31                            ;Minas Gerais                ;312630             ;Fortaleza de Minas            ;69,06                      ;26,65
1991;31                            ;Minas Gerais                ;312640             ;Fortuna de Minas              ;64,56                      ;39,80
1991;31                            ;Minas Gerais                ;312650             ;Francisco Badar�              ;64,95                      ;38,54
1991;31                            ;Minas Gerais                ;312660             ;Francisco Dumont              ;61,16                      ;51,76
1991;31                            ;Minas Gerais                ;312670             ;Francisco S�                  ;64,1                       ;41,32
1991;31                            ;Minas Gerais                ;312675             ;Francisc�polis                ;61,36                      ;51,02
1991;31                            ;Minas Gerais                ;312680             ;Frei Gaspar                   ;62,46                      ;46,96
1991;31                            ;Minas Gerais                ;312690             ;Frei Inoc�ncio                ;62,07                      ;48,39
1991;31                            ;Minas Gerais                ;312695             ;Frei Lagonegro                ;60,21                      ;56,15
1991;31                            ;Minas Gerais                ;312700             ;Fronteira                     ;70,02                      ;24,19
1991;31                            ;Minas Gerais                ;312705             ;Fronteira dos Vales           ;61,79                      ;49,41
1991;31                            ;Minas Gerais                ;312707             ;Fruta de Leite                ;63                         ;45,08
1991;31                            ;Minas Gerais                ;312710             ;Frutal                        ;70,21                      ;23,72
1991;31                            ;Minas Gerais                ;312720             ;Funil�ndia                    ;64,59                      ;39,72
1991;31                            ;Minas Gerais                ;312730             ;Galil�ia                      ;62,07                      ;48,39
